Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
8/23/2014,5:00 PM,60,0.2,Direct,,NoTOU
8/23/2014,6:00 PM,60,0.225,Direct,,NoTOU
8/23/2014,7:00 PM,60,0.22,Direct,,NoTOU
8/23/2014,8:00 PM,60,0.465,Direct,,NoTOU
8/23/2014,9:00 PM,60,0.47,Direct,,NoTOU
8/23/2014,10:00 PM,60,0.48,Direct,,NoTOU
8/23/2014,11:00 PM,60,0.675,Direct,,NoTOU
8/24/2014,12:00 AM,60,0.83,Direct,,NoTOU
8/24/2014,1:00 AM,60,0.26,Direct,,NoTOU
8/24/2014,2:00 AM,60,0.325,Direct,,NoTOU
8/24/2014,3:00 AM,60,0.265,Direct,,NoTOU
8/24/2014,4:00 AM,60,0.275,Direct,,NoTOU
8/24/2014,5:00 AM,60,0.24,Direct,,NoTOU
8/24/2014,6:00 AM,60,0.23,Direct,,NoTOU
8/24/2014,7:00 AM,60,0.345,Direct,,NoTOU
8/24/2014,8:00 AM,60,0.235,Direct,,NoTOU
8/24/2014,9:00 AM,60,0.5,Direct,,NoTOU
8/24/2014,10:00 AM,60,0.35,Direct,,NoTOU
8/24/2014,11:00 AM,60,0.275,Direct,,NoTOU
8/24/2014,12:00 PM,60,0.28,Direct,,NoTOU
8/24/2014,1:00 PM,60,0.24,Direct,,NoTOU
8/24/2014,2:00 PM,60,0.24,Direct,,NoTOU
8/24/2014,3:00 PM,60,0.235,Direct,,NoTOU
8/24/2014,4:00 PM,60,0.235,Direct,,NoTOU
8/24/2014,5:00 PM,60,0.24,Direct,,NoTOU
8/24/2014,6:00 PM,60,0.6,Direct,,NoTOU
8/24/2014,7:00 PM,60,0.415,Direct,,NoTOU
8/24/2014,8:00 PM,60,0.585,Direct,,NoTOU
8/24/2014,9:00 PM,60,0.51,Direct,,NoTOU
8/24/2014,10:00 PM,60,0.545,Direct,,NoTOU
8/24/2014,11:00 PM,60,0.415,Direct,,NoTOU
8/25/2014,12:00 AM,60,0.275,Direct,,NoTOU
8/25/2014,1:00 AM,60,0.275,Direct,,NoTOU
8/25/2014,2:00 AM,60,0.275,Direct,,NoTOU
8/25/2014,3:00 AM,60,0.27,Direct,,NoTOU
8/25/2014,4:00 AM,60,0.235,Direct,,NoTOU
8/25/2014,5:00 AM,60,0.225,Direct,,NoTOU
8/25/2014,6:00 AM,60,0.21,Direct,,NoTOU
8/25/2014,7:00 AM,60,0.285,Direct,,NoTOU
8/25/2014,8:00 AM,60,0.29,Direct,,NoTOU
8/25/2014,9:00 AM,60,0.275,Direct,,NoTOU
8/25/2014,10:00 AM,60,0.225,Direct,,NoTOU
8/25/2014,11:00 AM,60,0.225,Direct,,NoTOU
8/25/2014,12:00 PM,60,0.19,Direct,,NoTOU
8/25/2014,1:00 PM,60,0.2,Direct,,NoTOU
8/25/2014,2:00 PM,60,0.205,Direct,,NoTOU
8/25/2014,3:00 PM,60,0.195,Direct,,NoTOU
8/25/2014,4:00 PM,60,0.19,Direct,,NoTOU
8/25/2014,5:00 PM,60,0.22,Direct,,NoTOU
8/25/2014,6:00 PM,60,0.38,Direct,,NoTOU
8/25/2014,7:00 PM,60,0.435,Direct,,NoTOU
8/25/2014,8:00 PM,60,0.43,Direct,,NoTOU
8/25/2014,9:00 PM,60,0.68,Direct,,NoTOU
8/25/2014,10:00 PM,60,0.455,Direct,,NoTOU
8/25/2014,11:00 PM,60,0.325,Direct,,NoTOU
8/26/2014,12:00 AM,60,0.27,Direct,,NoTOU
8/26/2014,1:00 AM,60,0.27,Direct,,NoTOU
8/26/2014,2:00 AM,60,0.34,Direct,,NoTOU
8/26/2014,3:00 AM,60,0.325,Direct,,NoTOU
8/26/2014,4:00 AM,60,0.29,Direct,,NoTOU
8/26/2014,5:00 AM,60,0.275,Direct,,NoTOU
8/26/2014,6:00 AM,60,0.255,Direct,,NoTOU
